Date/Time,Word Count,de-DE,en,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko,pl-PL,pt-BR,ru-RU,th,vi-VN,zh-Hans
2025.04.05-02.01.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.05-02.06.53,7765,0,7765,0,0,0,0,0,0,0,0,0,0,0,0
2025.04.05-03.23.58,7765,0,7765,0,0,0,0,0,0,0,0,0,219,0,0
2025.04.05-16.29.27,7765,0,7765,0,0,0,0,0,0,0,0,0,361,0,0
2025.04.05-16.31.37,7765,0,7765,0,0,0,0,0,0,0,0,0,406,0,0
2025.04.05-16.34.29,7765,0,7765,0,0,0,0,0,0,0,0,0,483,0,0
2025.04.05-18.24.59,7765,0,7765,0,0,0,0,0,0,0,0,0,596,0,0
2025.05.08-16.48.55,8112,0,8112,0,0,0,0,0,0,0,0,0,653,0,0
2025.05.08-16.58.02,8112,0,8112,0,0,0,0,0,0,0,0,0,680,0,0
2025.05.10-12.33.29,8121,0,8121,0,0,0,0,0,0,0,0,0,705,0,0
2025.05.10-16.54.48,8163,0,8163,0,0,0,0,0,0,0,0,0,1305,0,0
2025.05.10-18.04.09,8188,0,8188,0,0,0,0,0,0,0,0,0,1342,0,0
2025.05.10-18.59.38,8206,0,8206,0,0,0,0,0,0,0,0,0,1355,0,0
2025.05.10-20.09.12,8207,0,8207,0,0,0,0,0,0,0,0,0,1369,0,0
2025.05.10-20.11.06,8207,0,8207,0,0,0,0,0,0,0,0,0,1370,0,0
2025.05.10-20.15.46,8198,0,8198,0,0,0,0,0,0,0,0,0,1342,0,0
2025.05.10-20.37.18,8206,0,8206,0,0,0,0,0,0,0,0,0,1361,0,0
2025.05.11-16.41.33,11446,0,11446,0,0,0,0,0,0,0,0,0,1332,0,0
2025.05.11-22.32.58,11466,0,11466,0,0,0,0,0,0,0,0,0,1461,0,0
2025.05.12-00.09.58,11476,0,11476,0,0,0,0,0,0,0,0,0,1494,0,0
2025.05.13-13.16.47,11554,0,11554,0,0,0,0,0,0,0,0,0,1504,0,0
2025.05.13-17.24.07,11591,0,11591,0,0,0,0,0,0,0,0,0,1542,0,0
2025.05.15-17.01.54,11972,0,11972,0,0,0,0,0,0,0,0,0,1649,0,0
2025.05.15-23.18.59,12035,0,12035,0,0,0,0,0,0,0,0,0,1693,0,0
2025.05.16-20.01.22,12035,0,12035,0,0,0,0,0,0,0,0,0,3533,0,0
2025.05.16-20.25.08,12035,0,12035,0,0,0,0,0,0,0,0,0,4019,0,0
2025.05.17-13.18.26,12073,0,12073,0,0,0,0,0,0,0,0,0,4361,0,0
2025.05.17-13.28.52,12073,0,12073,0,0,0,0,0,0,0,0,0,4399,0,0
2025.05.17-13.34.05,12092,0,12092,0,0,0,0,0,0,0,0,0,4399,0,0
2025.05.17-14.30.09,12465,0,12465,0,0,0,0,0,0,0,0,0,4399,0,0
2025.05.17-15.51.12,12483,0,12483,0,0,0,0,0,0,0,0,0,4428,0,0
2025.05.18-22.32.59,12537,0,12537,0,0,0,0,0,0,0,0,0,4482,0,0
2025.05.18-22.35.51,12537,0,12537,0,0,0,0,0,0,0,0,0,4483,0,0
2025.05.20-16.08.38,12641,0,12641,0,0,0,0,0,0,0,0,0,4533,0,0
2025.05.21-16.47.09,12696,0,12696,0,0,0,0,0,0,0,0,0,4589,0,0
2025.05.21-16.55.36,12696,0,12696,0,0,0,0,0,0,0,0,0,4578,0,0
2025.05.21-17.28.30,12744,0,12744,0,0,0,0,0,0,0,0,0,4578,0,0
2025.05.22-19.34.33,12792,0,12792,0,0,0,0,0,0,0,0,0,4594,0,0
2025.05.22-21.05.57,12826,0,12826,0,0,0,0,0,0,0,0,0,4642,0,0
2025.05.26-22.34.32,12857,0,12857,0,0,0,0,0,0,0,0,0,4627,0,0
2025.05.27-17.47.15,12855,0,12855,0,0,0,0,0,0,0,0,0,4655,0,0
2025.05.28-13.51.25,12841,0,12841,0,0,0,0,0,0,0,0,0,4820,0,0
2025.05.29-12.37.45,12842,0,12842,0,0,0,0,0,0,0,0,0,4820,0,0
2025.05.31-16.51.29,12930,0,12930,0,0,0,0,0,0,0,0,0,4804,0,0
2025.05.31-21.25.03,13073,0,13073,0,0,0,0,0,0,0,0,0,4881,0,0
2025.06.01-13.54.55,13136,0,13136,0,0,0,0,0,0,0,0,0,4934,0,0
2025.06.01-16.28.29,13346,0,13346,0,0,0,0,0,0,0,0,0,4986,0,0
2025.06.05-00.07.41,13452,0,13452,0,0,0,0,0,0,0,0,0,5068,0,0
2025.07.27-16.26.47,14858,0,14858,0,0,0,0,0,0,0,0,0,5249,0,0
2025.07.27-18.09.16,14850,0,14850,0,0,0,0,0,0,0,0,0,5331,0,0
2025.08.06-23.15.06,15092,0,15092,0,0,0,0,0,0,0,0,0,5306,0,0
2025.08.07-14.25.25,15092,0,15092,0,0,0,0,0,0,0,0,0,5309,0,0
2025.08.07-14.33.46,15106,0,15106,0,0,0,0,0,0,0,0,0,5309,0,0
2025.08.07-21.34.09,15106,0,15106,0,0,0,0,0,0,0,0,0,5345,0,0
2025.08.07-21.36.09,15106,0,15106,0,0,0,0,0,0,0,0,0,5345,0,14
2025.08.08-23.50.39,15130,0,15130,0,0,0,0,0,0,0,0,0,5345,0,14
2025.08.11-02.40.45,15141,0,15141,0,0,0,0,0,0,0,0,0,5355,0,14
2025.08.13-19.42.55,15411,0,15411,0,0,0,0,0,0,0,0,0,5368,0,14
